Year,Month,County,County_Code,Deaths,latitude,longitude,Population
2011,Sep,"St. Louis city, MO",29510,10,38.6267938,-90.19770345,319104
2011,Sep,"Essex County, NJ",34013,10,40.7913922,-74.2479444,787006
2011,Sep,"Bronx County, NY",36005,11,40.85703325,-73.83669616,1400000
2011,Sep,"Kings County, NY",36047,21,40.64530975,-73.95502303,2545000
2011,Sep,"Cuyahoga County, OH",39035,11,41.4301347,-81.6905558,1270000
2011,Sep,"Franklin County, OH",39049,10,40.0283162,-83.0076657,1180000
2011,Sep,"Philadelphia County, PA",42101,30,40.0114538,-75.1326504,1539000
2011,Sep,"Shelby County, TN",47157,10,35.1782557,-89.8739775,933529
2011,Sep,"Harris County, TX",48201,19,29.8119769,-95.3741247,4181000
2011,Oct,"Maricopa County, AZ",4013,14,33.34883,-112.49123,3872000
2011,Oct,"Alameda County, CA",6001,10,37.6090291,-121.899142,1529875
2011,Oct,"Los Angeles County, CA",6037,44,34.3155072,-118.2096814,9897000
2011,Oct,"San Bernardino County, CA",6071,10,34.8253019,-116.0833144,2064000
2011,Oct,"Miami-Dade County, FL",12086,10,25.6364246,-80.4989467,2580000
2011,Oct,"Cook County, IL",17031,46,41.8197385,-87.756525,5216000
2011,Oct,"Orleans Parish, LA",22071,13,30.0801436,-89.9319134,360840
2011,Oct,"Baltimore city, MD",24510,13,39.2559916,-76.634341,620792
2011,Oct,"Wayne County, MI",26163,22,42.2682408,-83.2844172,1801000
2011,Oct,"Bronx County, NY",36005,10,40.85703325,-73.83669616,1400000
2011,Oct,"Kings County, NY",36047,10,40.64530975,-73.95502303,2545000
2011,Oct,"Philadelphia County, PA",42101,33,40.0114538,-75.1326504,1539000
2011,Oct,"Dallas County, TX",48113,11,32.7620405,-96.7790069,2410000
2011,Oct,"Harris County, TX",48201,19,29.8119769,-95.3741247,4181000
2011,Nov,"Maricopa County, AZ",4013,12,33.34883,-112.49123,3872000
2011,Nov,"Los Angeles County, CA",6037,37,34.3155072,-118.2096814,9897000
2011,Nov,"San Joaquin County, CA",6077,11,37.9372901,-121.2773719,695432
2011,Nov,"Miami-Dade County, FL",12086,20,25.6364246,-80.4989467,2580000
2011,Nov,"Cook County, IL",17031,44,41.8197385,-87.756525,5216000
2011,Nov,"Orleans Parish, LA",22071,12,30.0801436,-89.9319134,360840
2011,Nov,"Prince George's County, MD",24033,10,38.803929,-76.8518695,875277
2011,Nov,"Baltimore city, MD",24510,11,39.2559916,-76.634341,620792
2011,Nov,"Wayne County, MI",26163,21,42.2682408,-83.2844172,1801000
2011,Nov,"Jackson County, MO",29095,16,40.6531945,-106.3447246,675373
2011,Nov,"Philadelphia County, PA",42101,22,40.0114538,-75.1326504,1539000
2011,Nov,"Shelby County, TN",47157,14,35.1782557,-89.8739775,933529
2011,Nov,"Harris County, TX",48201,29,29.8119769,-95.3741247,4181000
2011,Dec,"Maricopa County, AZ",4013,13,33.34883,-112.49123,3872000
2011,Dec,"Los Angeles County, CA",6037,46,34.3155072,-118.2096814,9897000
2011,Dec,"Miami-Dade County, FL",12086,16,25.6364246,-80.4989467,2580000
2011,Dec,"Cook County, IL",17031,38,41.8197385,-87.756525,5216000
2011,Dec,"Orleans Parish, LA",22071,11,30.0801436,-89.9319134,360840
2011,Dec,"Wayne County, MI",26163,26,42.2682408,-83.2844172,1801000
2011,Dec,"Bronx County, NY",36005,10,40.85703325,-73.83669616,1400000
2011,Dec,"Philadelphia County, PA",42101,26,40.0114538,-75.1326504,1539000
2011,Dec,"Bexar County, TX",48029,10,29.4263987,-98.5104781,1756000
2011,Dec,"Dallas County, TX",48113,14,32.7620405,-96.7790069,2410000
