,Month,Month Code,County,County Code,Deaths,latitude,longitude
1132,"Aug., 2012",2012/08,"Los Angeles County, CA",6037,40,34.3155072,-118.2096814
1133,"Aug., 2012",2012/08,"San Bernardino County, CA",6071,13,34.8253019,-116.0833144
1134,"Aug., 2012",2012/08,"Miami-Dade County, FL",12086,14,25.6364246,-80.4989467
1135,"Aug., 2012",2012/08,"Cook County, IL",17031,50,41.8197385,-87.756525
1136,"Aug., 2012",2012/08,"Marion County, IN",18097,10,39.7810289,-86.1365457
1137,"Aug., 2012",2012/08,"East Baton Rouge Parish, LA",22033,13,30.5254797,-91.0899217
1138,"Aug., 2012",2012/08,"Baltimore city, MD",24510,16,39.2559916,-76.634341
1139,"Aug., 2012",2012/08,"Wayne County, MI",26163,44,42.2682408,-83.2844172
1140,"Aug., 2012",2012/08,"Jackson County, MO",29095,11,40.6531945,-106.3447246
1141,"Aug., 2012",2012/08,"St. Louis County, MO",29189,10,38.63904535,-90.51882739
1142,"Aug., 2012",2012/08,"Cuyahoga County, OH",39035,10,41.4301347,-81.6905558
1143,"Aug., 2012",2012/08,"Allegheny County, PA",42003,14,40.4597204,-79.9760405
1144,"Aug., 2012",2012/08,"Philadelphia County, PA",42101,28,40.0114538,-75.1326504
1145,"Aug., 2012",2012/08,"Shelby County, TN",47157,11,35.1782557,-89.8739775
1146,"Aug., 2012",2012/08,"Dallas County, TX",48113,12,32.7620405,-96.7790069
1147,"Aug., 2012",2012/08,"Harris County, TX",48201,21,29.8119769,-95.3741247
1148,"Aug., 2012",2012/08,"Milwaukee County, WI",55079,18,43.01641545,-87.97373035
1149,"Sep., 2012",2012/09,"Jefferson County, AL",1073,10,33.5228184,-86.9164513
1150,"Sep., 2012",2012/09,"Maricopa County, AZ",4013,11,33.34883,-112.49123
1151,"Sep., 2012",2012/09,"Alameda County, CA",6001,12,37.6090291,-121.899142
1152,"Sep., 2012",2012/09,"Fresno County, CA",6019,10,36.6713502,-119.8155355
1153,"Sep., 2012",2012/09,"Los Angeles County, CA",6037,32,34.3155072,-118.2096814
1154,"Sep., 2012",2012/09,"Duval County, FL",12031,10,30.3540073,-81.6632109
1155,"Sep., 2012",2012/09,"Miami-Dade County, FL",12086,12,25.6364246,-80.4989467
1156,"Sep., 2012",2012/09,"Cook County, IL",17031,44,41.8197385,-87.756525
1157,"Sep., 2012",2012/09,"Marion County, IN",18097,12,39.7810289,-86.1365457
1158,"Sep., 2012",2012/09,"Orleans Parish, LA",22071,17,30.0801436,-89.9319134
1159,"Sep., 2012",2012/09,"Baltimore city, MD",24510,19,39.2559916,-76.634341
1160,"Sep., 2012",2012/09,"Wayne County, MI",26163,41,42.2682408,-83.2844172
1161,"Sep., 2012",2012/09,"Jackson County, MO",29095,11,40.6531945,-106.3447246
1162,"Sep., 2012",2012/09,"Bronx County, NY",36005,13,40.85703325,-73.83669616
1163,"Sep., 2012",2012/09,"Kings County, NY",36047,10,40.64530975,-73.95502303
1164,"Sep., 2012",2012/09,"Philadelphia County, PA",42101,18,40.0114538,-75.1326504
1165,"Sep., 2012",2012/09,"Shelby County, TN",47157,11,35.1782557,-89.8739775
1166,"Sep., 2012",2012/09,"Dallas County, TX",48113,13,32.7620405,-96.7790069
1167,"Sep., 2012",2012/09,"Harris County, TX",48201,19,29.8119769,-95.3741247
1168,"Oct., 2012",2012/10,"Alameda County, CA",6001,15,37.6090291,-121.899142
1169,"Oct., 2012",2012/10,"Los Angeles County, CA",6037,35,34.3155072,-118.2096814
1170,"Oct., 2012",2012/10,"San Joaquin County, CA",6077,10,37.9372901,-121.2773719
1171,"Oct., 2012",2012/10,"Miami-Dade County, FL",12086,19,25.6364246,-80.4989467
1172,"Oct., 2012",2012/10,"Orange County, FL",12095,14,28.495156,-81.3111658
